 Time,Values
Phase A,
09/10/2023 00:00,"7130.789999999999"
10/10/2023 00:00,"8394.85"
11/10/2023 00:00,"8269.76"
12/10/2023 00:00,"8554.300000000003"
13/10/2023 00:00,"7855.199999999999"
14/10/2023 00:00,"6845.579999999999"
15/10/2023 00:00,"11123.16"
Phase B,
09/10/2023 00:00,"13014.529999999999"
10/10/2023 00:00,"14890.519999999999"
11/10/2023 00:00,"14274.929999999998"
12/10/2023 00:00,"17796.28"
13/10/2023 00:00,"13386.669999999998"
14/10/2023 00:00,"12859.739999999998"
15/10/2023 00:00,"16224.31"
Phase C,
09/10/2023 00:00,"0"
10/10/2023 00:00,"0"
11/10/2023 00:00,"0"
12/10/2023 00:00,"0"
13/10/2023 00:00,"0"
14/10/2023 00:00,"0"
15/10/2023 00:00,"0"
Total,
09/10/2023 00:00,"20145.32"
10/10/2023 00:00,"23285.37"
11/10/2023 00:00,"22544.69"
12/10/2023 00:00,"26350.58"
13/10/2023 00:00,"21241.869999999995"
14/10/2023 00:00,"19705.319999999996"
15/10/2023 00:00,"27347.47"
Phase A Returned,
09/10/2023 00:00,"0"
10/10/2023 00:00,"0"
11/10/2023 00:00,"0"
12/10/2023 00:00,"0"
13/10/2023 00:00,"0"
14/10/2023 00:00,"0"
15/10/2023 00:00,"0"
Phase B Returned,
09/10/2023 00:00,"0"
10/10/2023 00:00,"0"
11/10/2023 00:00,"0"
12/10/2023 00:00,"0"
13/10/2023 00:00,"0"
14/10/2023 00:00,"0"
15/10/2023 00:00,"0"
Phase C Returned,
09/10/2023 00:00,"0"
10/10/2023 00:00,"0"
11/10/2023 00:00,"0"
12/10/2023 00:00,"0"
13/10/2023 00:00,"0"
14/10/2023 00:00,"0"
15/10/2023 00:00,"0"
Total Returned,
09/10/2023 00:00,"0"
10/10/2023 00:00,"0"
11/10/2023 00:00,"0"
12/10/2023 00:00,"0"
13/10/2023 00:00,"0"
14/10/2023 00:00,"0"
15/10/2023 00:00,"0"
