 Time,Values,
Phase A,,
18/09/2023 00:00,4375.84,
19/09/2023 00:00,6785.3,
20/09/2023 00:00,8166,
21/09/2023 00:00,7478.08,
22/09/2023 00:00,8073.19,
23/09/2023 00:00,8855.24,
24/09/2023 00:00,8324.79,
Phase B,,
18/09/2023 00:00,10650.23,
19/09/2023 00:00,11871.69,
20/09/2023 00:00,15661.21,
21/09/2023 00:00,13559.16,
22/09/2023 00:00,14750.8,
23/09/2023 00:00,13868.45,
24/09/2023 00:00,12542.47,
Phase C,,
18/09/2023 00:00,0,
19/09/2023 00:00,0,
20/09/2023 00:00,0,
21/09/2023 00:00,0,
22/09/2023 00:00,0,
23/09/2023 00:00,0,
24/09/2023 00:00,0,
Total,,
18/09/2023 00:00,15026.07,
19/09/2023 00:00,18656.99,
20/09/2023 00:00,23827.21,
21/09/2023 00:00,21037.24,
22/09/2023 00:00,22823.99,
23/09/2023 00:00,22723.69,
24/09/2023 00:00,20867.26,144962.45
Phase A Returned,,
18/09/2023 00:00,0,
19/09/2023 00:00,0,
20/09/2023 00:00,0,
21/09/2023 00:00,0,
22/09/2023 00:00,0,
23/09/2023 00:00,0,
24/09/2023 00:00,0,
Phase B Returned,,
18/09/2023 00:00,0,
19/09/2023 00:00,0,
20/09/2023 00:00,0,
21/09/2023 00:00,0,
22/09/2023 00:00,0,
23/09/2023 00:00,0,
24/09/2023 00:00,0,
Phase C Returned,,
18/09/2023 00:00,0,
19/09/2023 00:00,0,
20/09/2023 00:00,0,
21/09/2023 00:00,0,
22/09/2023 00:00,0,
23/09/2023 00:00,0,
24/09/2023 00:00,0,
Total Returned,,
18/09/2023 00:00,0,
19/09/2023 00:00,0,
20/09/2023 00:00,0,
21/09/2023 00:00,0,
22/09/2023 00:00,0,
23/09/2023 00:00,0,
24/09/2023 00:00,0,
